"Notes"	"Event Category"	"Event Category Code"	"Year Reported"	"Year Reported Code"	"Vaccine"	"Vaccine Code"	Events Reported	Percent
	"Death"	"DTH"	"1995"	"1995"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	6	0.49%
"Total"	"Death"	"DTH"	"1995"	"1995"			14	1.14%
	"Death"	"DTH"	"1996"	"1996"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	3	0.24%
	"Death"	"DTH"	"1996"	"1996"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	3	0.24%
	"Death"	"DTH"	"1996"	"1996"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	8	0.65%
	"Death"	"DTH"	"1996"	"1996"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	4	0.32%
"Total"	"Death"	"DTH"	"1996"	"1996"			18	1.46%
	"Death"	"DTH"	"1997"	"1997"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	2	0.16%
	"Death"	"DTH"	"1997"	"1997"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	3	0.24%
	"Death"	"DTH"	"1997"	"1997"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	5	0.41%
	"Death"	"DTH"	"1997"	"1997"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	6	0.49%
	"Death"	"DTH"	"1997"	"1997"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	7	0.57%
"Total"	"Death"	"DTH"	"1997"	"1997"			23	1.87%
	"Death"	"DTH"	"1998"	"1998"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	2	0.16%
	"Death"	"DTH"	"1998"	"1998"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	3	0.24%
	"Death"	"DTH"	"1998"	"1998"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	3	0.24%
	"Death"	"DTH"	"1998"	"1998"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	3	0.24%
	"Death"	"DTH"	"1998"	"1998"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	7	0.57%
"Total"	"Death"	"DTH"	"1998"	"1998"			18	1.46%
	"Death"	"DTH"	"1999"	"1999"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	1	0.08%
	"Death"	"DTH"	"1999"	"1999"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	2	0.16%
	"Death"	"DTH"	"1999"	"1999"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	9	0.73%
"Total"	"Death"	"DTH"	"1999"	"1999"			12	0.97%
	"Death"	"DTH"	"2000"	"2000"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	1	0.08%
	"Death"	"DTH"	"2000"	"2000"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	7	0.57%
	"Death"	"DTH"	"2000"	"2000"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2000"	"2000"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	11	0.89%
"Total"	"Death"	"DTH"	"2000"	"2000"			23	1.87%
	"Death"	"DTH"	"2001"	"2001"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	5	0.41%
	"Death"	"DTH"	"2001"	"2001"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"2001"	"2001"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	4	0.32%
	"Death"	"DTH"	"2001"	"2001"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	9	0.73%
	"Death"	"DTH"	"2001"	"2001"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	10	0.81%
"Total"	"Death"	"DTH"	"2001"	"2001"			29	2.35%
	"Death"	"DTH"	"2002"	"2002"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	4	0.32%
	"Death"	"DTH"	"2002"	"2002"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	3	0.24%
	"Death"	"DTH"	"2002"	"2002"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	3	0.24%
	"Death"	"DTH"	"2002"	"2002"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	4	0.32%
"Total"	"Death"	"DTH"	"2002"	"2002"			14	1.14%
	"Death"	"DTH"	"2003"	"2003"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	2	0.16%
	"Death"	"DTH"	"2003"	"2003"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	1	0.08%
	"Death"	"DTH"	"2003"	"2003"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	7	0.57%
	"Death"	"DTH"	"2003"	"2003"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	12	0.97%
"Total"	"Death"	"DTH"	"2003"	"2003"			22	1.79%
	"Death"	"DTH"	"2004"	"2004"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	3	0.24%
	"Death"	"DTH"	"2004"	"2004"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"2004"	"2004"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	27	2.19%
"Total"	"Death"	"DTH"	"2004"	"2004"			31	2.52%
	"Death"	"DTH"	"2005"	"2005"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	5	0.41%
	"Death"	"DTH"	"2005"	"2005"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	3	0.24%
	"Death"	"DTH"	"2005"	"2005"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	21	1.70%
"Total"	"Death"	"DTH"	"2005"	"2005"			29	2.35%
	"Death"	"DTH"	"2006"	"2006"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	5	0.41%
	"Death"	"DTH"	"2006"	"2006"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	2	0.16%
	"Death"	"DTH"	"2006"	"2006"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	3	0.24%
	"Death"	"DTH"	"2006"	"2006"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2006"	"2006"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	9	0.73%
"Total"	"Death"	"DTH"	"2006"	"2006"			23	1.87%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	4	0.32%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	8	0.65%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	1	0.08%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	12	0.97%
	"Death"	"DTH"	"2007"	"2007"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	1	0.08%
"Total"	"Death"	"DTH"	"2007"	"2007"			31	2.52%
	"Death"	"DTH"	"2008"	"2008"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	3	0.24%
	"Death"	"DTH"	"2008"	"2008"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	2	0.16%
	"Death"	"DTH"	"2008"	"2008"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	2	0.16%
	"Death"	"DTH"	"2008"	"2008"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	3	0.24%
	"Death"	"DTH"	"2008"	"2008"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	13	1.06%
	"Death"	"DTH"	"2008"	"2008"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	3	0.24%
"Total"	"Death"	"DTH"	"2008"	"2008"			26	2.11%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (NOVARTIS))"	"1133"	8	0.65%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (SANOFI))"	"1132"	19	1.54%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (MEDIMMUNE))"	"1131"	5	0.41%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	9	0.73%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	2	0.16%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	1	0.08%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	4	0.32%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	7	0.57%
	"Death"	"DTH"	"2009"	"2009"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	15	1.22%
"Total"	"Death"	"DTH"	"2009"	"2009"			70	5.68%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (CSL))"	"1134"	1	0.08%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (NOVARTIS))"	"1133"	10	0.81%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (SANOFI))"	"1132"	16	1.30%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (MEDIMMUNE))"	"1131"	3	0.24%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	7	0.57%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	1	0.08%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	2	0.16%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	5	0.41%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	2	0.16%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	19	1.54%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	3	0.24%
	"Death"	"DTH"	"2010"	"2010"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN))"	"1135"	3	0.24%
"Total"	"Death"	"DTH"	"2010"	"2010"			76	6.17%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (CSL))"	"1134"	1	0.08%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (NOVARTIS))"	"1133"	1	0.08%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (SANOFI))"	"1132"	1	0.08%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	21	1.70%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	3	0.24%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	2	0.16%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	3	0.24%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	7	0.57%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	20	1.62%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	3	0.24%
	"Death"	"DTH"	"2011"	"2011"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN))"	"1135"	2	0.16%
"Total"	"Death"	"DTH"	"2011"	"2011"			68	5.52%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	16	1.30%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	6	0.49%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	2	0.16%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	4	0.32%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	1	0.08%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	9	0.73%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLUENZ)"	"1190"	1	0.08%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	1	0.08%
	"Death"	"DTH"	"2012"	"2012"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN))"	"1135"	15	1.22%
"Total"	"Death"	"DTH"	"2012"	"2012"			59	4.79%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	13	1.06%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	1	0.08%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	3	0.24%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (AGRIFLU)"	"1151"	1	0.08%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	1	0.08%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	1	0.08%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	5	0.41%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	6	0.49%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	10	0.81%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	3	0.24%
	"Death"	"DTH"	"2013"	"2013"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN))"	"1135"	1	0.08%
"Total"	"Death"	"DTH"	"2013"	"2013"			45	3.65%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	7	0.57%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	2	0.16%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	2	0.16%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	2	0.16%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUMIST QUADRIVALENT)"	"1160"	6	0.49%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	3	0.24%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLULAVAL)"	"1101"	2	0.16%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	5	0.41%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	7	0.57%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	9	0.73%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	2	0.16%
	"Death"	"DTH"	"2014"	"2014"	"INFLUENZA (SEASONAL) (FLUCELVAX)"	"1159"	1	0.08%
"Total"	"Death"	"DTH"	"2014"	"2014"			48	3.90%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	8	0.65%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	1	0.08%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	5	0.41%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUMIST QUADRIVALENT)"	"1160"	3	0.24%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	1	0.08%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	4	0.32%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	10	0.81%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	5	0.41%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	2	0.16%
	"Death"	"DTH"	"2015"	"2015"	"INFLUENZA (SEASONAL) (FLUCELVAX)"	"1159"	1	0.08%
"Total"	"Death"	"DTH"	"2015"	"2015"			40	3.25%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	11	0.89%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	5	0.41%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	2	0.16%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	13	1.06%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUMIST QUADRIVALENT)"	"1160"	1	0.08%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	1	0.08%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUARIX)"	"1089"	1	0.08%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	1	0.08%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	8	0.65%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	5	0.41%
	"Death"	"DTH"	"2016"	"2016"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	1	0.08%
"Total"	"Death"	"DTH"	"2016"	"2016"			49	3.98%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	7	0.57%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (AFLURIA QUADRIVALENT)"	"1177"	1	0.08%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	1	0.08%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	6	0.49%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	1	0.08%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	1	0.08%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	4	0.32%
	"Death"	"DTH"	"2017"	"2017"	"INFLUENZA (SEASONAL) (FLUAD)"	"1173"	2	0.16%
"Total"	"Death"	"DTH"	"2017"	"2017"			23	1.87%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (MEDIMMUNE))"	"1131"	1	0.08%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	8	0.65%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (AFLURIA QUADRIVALENT)"	"1177"	3	0.24%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	7	0.57%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	3	0.24%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	7	0.57%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (QIV DRESDEN)"	"1187"	9	0.73%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (FLUCELVAX QUADRIVALENT)"	"1175"	3	0.24%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	1	0.08%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	5	0.41%
	"Death"	"DTH"	"2018"	"2018"	"INFLUENZA (SEASONAL) (FLUAD)"	"1173"	2	0.16%
"Total"	"Death"	"DTH"	"2018"	"2018"			49	3.98%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	25	2.03%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (AFLURIA QUADRIVALENT)"	"1177"	3	0.24%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	3	0.24%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	3	0.24%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	2	0.16%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUCELVAX QUADRIVALENT)"	"1175"	2	0.16%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUBLOK QUADRIVALENT)"	"1176"	2	0.16%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (AFLURIA)"	"1121"	1	0.08%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	3	0.24%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	1	0.08%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUMIST)"	"1085"	1	0.08%
	"Death"	"DTH"	"2019"	"2019"	"INFLUENZA (SEASONAL) (FLUAD)"	"1173"	2	0.16%
"Total"	"Death"	"DTH"	"2019"	"2019"			48	3.90%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	47	3.81%
